"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Protein_ID","Annotation","Dcor_Gene"
"1",36.1802884620446,0.925192700796468,0.537346688769211,1.72177984927313,0.0851094062192118,0.162844875577829,"Alus_evm.model.scaffold00001.1","Probable aminopeptidase NPEPL1","Dcor_evm.model.hic_scaffold_9_pilon.471"
"2",502.925955779771,1.01794204279557,0.411636666597231,2.47291391996327,0.0134016418638819,0.0354716496294265,"Alus_evm.model.scaffold00001.3","Nascent polypeptide-associated complex subunit alpha","Dcor_evm.model.hic_scaffold_9_pilon.175"
"3",210.547231456807,1.22342142042007,0.452459941631397,2.70393311728079,0.0068524080169816,0.0200866325123193,"Alus_evm.model.scaffold00001.5","Storkhead-box protein 1","Dcor_evm.model.hic_scaffold_7_pilon.138"
"4",201.616101956956,-1.43922401125432,0.706766348047152,-2.03635050711031,0.0417151715028354,0.0912483975881735,"Alus_evm.model.scaffold00003.1","Torsin-1B","Dcor_evm.model.hic_scaffold_10_pilon.1384"
"5",4.55850944469416,-0.437754367849163,1.47573501319945,-0.296634804984463,0.766745335673104,0.842584664799962,"Alus_evm.model.scaffold00003.4","Peripheral plasma membrane protein CASK-like Protein ",NA
"6",13.8359751917034,-5.38684685582124,1.24030911792127,-4.34314863769565,1.40455035606481e-05,8.75230195911359e-05,"Alus_evm.model.scaffold00003.5","Amidophosphoribosyltransferase","Dcor_evm.model.hic_scaffold_10_pilon.1283"
"7",78.8760940486393,-3.94225708128025,0.677574671424494,-5.81818838208972,5.94888366332842e-09,8.3539654980863e-08,"Alus_evm.model.scaffold00003.6","Multifunctional protein ADE2","Dcor_evm.model.hic_scaffold_10_pilon.1282"
"8",63.6149517376505,2.59753784774708,1.37673757520795,1.88673418560159,0.0591960871990607,0.121313974414843,"Alus_evm.model.scaffold00004.1","Transient receptor potential channel pyrexia","Dcor_evm.model.hic_scaffold_6_pilon.308"
"9",12.2487460262704,-1.28701032680267,0.705845910696401,-1.8233587632928,0.0682490715728319,0.136359245867717,"Alus_evm.model.scaffold00004.5","Serine/threonine-protein kinase Genghis Khan","Dcor_evm.model.hic_scaffold_6_pilon.346"
"10",13.2880449382146,-2.00498907911331,1.02104029649434,-1.96367282074692,0.0495680464872276,0.104978492648671,"Alus_evm.model.scaffold00006.2","Breast carcinoma-amplified sequence 3 homolog","Dcor_evm.model.hic_scaffold_5_pilon.1094"
"11",18.6585705814816,-1.88926481528735,1.20181293549483,-1.57201238186829,0.115947679700564,0.209069793469091,"Alus_evm.model.scaffold00012.5","-",NA
"12",34.6492127483362,-4.73721360273495,1.54506154664364,-3.0660355330347,0.00216917534599219,0.007549121676239,"Alus_evm.model.scaffold00018.1","Probable cytochrome P450 304a1","Dcor_evm.model.hic_scaffold_4_pilon.1051"
"13",10.0764951919089,-3.17162600285485,1.23186213660186,-2.57465986543259,0.0100338705296103,0.0277977854923708,"Alus_evm.model.scaffold00021.2","PREDICTED: uncharacterized protein LOC108566095","Dcor_evm.model.hic_scaffold_10_pilon.867"
"14",126.752181742798,1.66768422647326,0.557339889843836,2.99222118650171,0.00276955520760253,0.00931146534461386,"Alus_evm.model.scaffold00026.1","Replication protein A 32 kDa subunit","Dcor_evm.model.hic_scaffold_6_pilon.1139"
"15",2360.78848451276,0.861833486452949,0.324856567071571,2.65296618203526,0.00797878643410662,0.0228774660375333,"Alus_evm.model.scaffold00026.2","Annexin B10","Dcor_evm.model.hic_scaffold_6_pilon.1142"
"16",771.229378513411,0.291449707065415,0.435709580136764,0.668908191033882,0.503554044811822,0.629238617209311,"Alus_evm.model.scaffold00028.1","hypothetical protein","Dcor_evm.model.hic_scaffold_1_pilon.566"
"17",280.828352527581,-1.33632484386152,0.45466169893748,-2.93916300181968,0.00329099944527381,0.0107435015143627,"Alus_evm.model.scaffold00028.2","-",NA
"18",3115.2421957936,0.350953998680627,0.445507383953817,0.787762473353321,0.430835655311766,0.562995430991258,"Alus_evm.model.scaffold00028.3","Eukaryotic translation initiation factor 3 subunit B","Dcor_evm.model.hic_scaffold_1_pilon.880"
"19",14.7294267029705,-2.51091004751201,1.0269135286856,-2.44510367949467,0.0144810506212079,0.037773155956141,"Alus_evm.model.scaffold00030.2","Cysteine/serine-rich nuclear protein 2","Dcor_evm.model.hic_scaffold_7_pilon.1441"
"20",43.7052821946329,-1.56622426233383,0.786441664568007,-1.99153266274893,0.0464223580138922,0.0993554011105092,"Alus_evm.model.scaffold00031.1",NA,NA
"21",514.329715776319,-0.467124692704683,0.42317556048793,-1.10385555386535,0.269655801685104,0.400662218271525,"Alus_evm.model.scaffold00031.2","PREDICTED: uncharacterized protein LOC108558090","Dcor_evm.model.hic_scaffold_5_pilon.830"
"22",387.437755673157,2.56832589984153,0.772591924910098,3.32429814114403,0.000886413776198063,0.00346448873295797,"Alus_evm.model.scaffold00035.1","uncharacterized protein LOC111255159","Dcor_evm.model.hic_scaffold_30_pilon.6"
"23",154.152441732611,1.63156161136194,0.659394331224351,2.47433369397108,0.0133484952339208,0.0353743312959781,"Alus_evm.model.scaffold00036.1","Midasin","Dcor_evm.model.contig_40_pilon.1"
"24",744.692270603801,-0.218362895969528,0.332066515178387,-0.657587820476939,0.510803022895873,0.635500413994161,"Alus_evm.model.scaffold00036.2","SH3 domain-binding glutamic acid-rich protein homolog-like Protein ",NA
"25",124.465036832872,-0.383395251487867,0.621826443658635,-0.616563118853692,0.537522927276386,0.659776095891986,"Alus_evm.model.scaffold00041.1","Serine/threonine-protein kinase SMG1","Dcor_evm.model.hic_scaffold_16_pilon.52"
"26",106.183987271163,-0.683362791524485,0.762505309252368,-0.896207256831455,0.370142080641578,0.504630042422282,"Alus_evm.model.scaffold00041.2","Putative ATP-dependent RNA helicase TDRD12","Dcor_evm.model.hic_scaffold_6_pilon.545"
"27",27.7428899489353,0.55750677695568,0.904152953967614,0.616606708532249,0.537494168569737,0.659776095891986,"Alus_evm.model.scaffold00048.1",NA,NA
