"OG"	"group"	"Dcor_Gene"	"Liom_Gene"	"Liom_change"	"Liom_beta_D1"	"Liom_beta_d2"	"Liom_padj_D1vC"	"Liom_padj_D2vC"	"Annotation"	"Dcor_change"	"Dcor_beta_D1"	"Dcor_beta_d2"	"Dcor_padj_D1vC"	"Dcor_padj_D2vC"
"OG0000035"	195	"Dcor_evm.model.hic_scaffold_3_pilon.186"	"Liom_evm.model.scaffold55395.2"	"D2-enriched"	-1.95006092432059	9.78682483501183	0.0589340344334831	5.58571964815365e-31	"Nose resistant to fluoxetine protein 6"	"D2-enriched"	-2.85693482677921	6.98020785219079	0.00452361017601293	1.42373254644642e-45
"OG0000045"	254	"Dcor_evm.model.hic_scaffold_2_pilon.638"	"Liom_evm.model.scaffold17696.1"	"D2-enriched"	-2.63261453335051	4.1472571582137	0.101068381101107	0.00212212285181346	"Fatty acyl-CoA reductase wat"	"D2-enriched"	-5.43419972255904	5.03796873069882	0.00835316230758019	6.16175801657543e-07
"OG0000045"	254	"Dcor_evm.model.hic_scaffold_2_pilon.638"	"Liom_evm.model.scaffold55790.1"	"D2-enriched"	-4.55644226791737	4.00837534852261	0.0017300395390993	4.51877048253455e-05	"Fatty acyl-CoA reductase wat"	"D2-enriched"	-5.43419972255904	5.03796873069882	0.00835316230758019	6.16175801657543e-07
"OG0000045"	255	"Dcor_evm.model.hic_scaffold_2_pilon.637"	"Liom_evm.model.scaffold39589.1"	"D2-enriched"	-3.09532844937669	7.42276407762802	0.00739294264144239	1.9377079556946e-13	"Fatty acyl-CoA reductase wat"	"D2-enriched"	-4.37337605057514	5.15217659285454	0.00566369518511459	7.5735969428221e-11
"OG0000128"	480	"Dcor_evm.model.hic_scaffold_10_pilon.1379"	"Liom_evm.model.scaffold39442.3"	"D2-enriched"	-6.95942487471832	3.3545941437628	3.83075262844903e-06	0.0492668885365345	"Protein takeout"	"D2-enriched"	-2.84450996863663	7.29358875317701	0.000880368522343205	8.86881093996419e-66
"OG0000186"	613	"Dcor_evm.model.hic_scaffold_3_pilon.754"	"Liom_evm.model.scaffold51346.1"	"D2-enriched"	-3.56263703069891	3.02551221947813	2.32364819390766e-11	1.0440453893718e-08	"ABC transporter G family member 23"	"D2-enriched"	-1.20689907950731	3.61274956464603	0.116745454125496	5.5635560870485e-25
"OG0000222"	695	"Dcor_evm.model.hic_scaffold_7_pilon.517"	"Liom_evm.model.scaffold10279.1"	"D2-enriched"	-1.81237619378497	5.72683739217799	0.431641261439429	6.27000383324028e-07	"T-box transcription factor TBX20"	"D2-enriched"	-4.39376314214761	7.72745791350952	0.000963569369229124	8.93342442983727e-50
"OG0000879"	1620	"Dcor_evm.model.hic_scaffold_6_pilon.201"	"Liom_evm.model.scaffold14410.2"	"D2-enriched"	-7.24912935444342	2.32582926231804	9.93443243622832e-18	0.0129137438640909	"Titin"	"D2-enriched"	-2.96356837021957	4.05565166223601	0.0241786151650268	3.40851659183717e-10
"OG0001025"	1777	"Dcor_evm.model.hic_scaffold_3_pilon.592"	"Liom_evm.model.scaffold15746.1"	"D2-enriched"	-0.610638989478777	3.13189489410948	0.414589260624693	1.84678920894895e-08	"Acyl-CoA-binding protein homolog"	"D2-enriched"	-0.609625126273275	5.63221147246708	0.502048895281	6.07824227291474e-54
"OG0001260"	2008	"Dcor_evm.model.hic_scaffold_9_pilon.1486"	"Liom_evm.model.scaffold40616.1"	"D2-enriched"	0.0555933859252946	5.0735577775297	0.980399308539065	2.04009150243896e-05	"Homeobox protein invected"	"D2-enriched"	-7.01824115865414	3.78650674260369	1.14269101497586e-08	5.38679371106797e-14
"OG0001260"	2009	"Dcor_evm.model.hic_scaffold_9_pilon.1485"	"Liom_evm.model.scaffold24640.1"	"D2-enriched"	-2.28641742889128	7.44756670736515	0.126801765602933	1.29332115191749e-11	"Segmentation polarity homeobox protein engrailed"	"D2-enriched"	-3.99443922504952	5.42273019984083	0.0176726800900831	1.72212954297359e-11
"OG0001611"	2333	"Dcor_evm.model.hic_scaffold_2_pilon.74"	"Liom_evm.model.scaffold30097.1"	"D2-enriched"	-2.55751287269324	4.72471216659551	0.0111761274256718	2.10746742707666e-07	"GAS2-like protein pickled eggs"	"D2-enriched"	-3.85326056985637	3.82882765896835	1.74501562160434e-05	1.63902489996296e-16
"OG0001663"	2380	"Dcor_evm.model.hic_scaffold_7_pilon.1619"	"Liom_evm.model.scaffold18393.1"	"D2-enriched"	-0.555231369937393	5.24859211395975	0.715231090560631	1.89005708842178e-07	"Nose resistant to fluoxetine protein 6"	"D2-enriched"	-2.56469150728863	3.45600188726856	0.0452409262786905	2.72573551305868e-08
"OG0002334"	2959	"Dcor_evm.model.hic_scaffold_8_pilon.143"	"Liom_evm.model.scaffold49668.1"	"D2-enriched"	-5.6800667187266	3.17583503168015	2.94408031525892e-10	0.000848448883123876	"Very long-chain-fatty-acid--CoA ligase bubblegum"	"D2-enriched"	-0.740649428417194	3.93546891557971	0.545280056032534	1.14980237337057e-15
"OG0002334"	2959	"Dcor_evm.model.hic_scaffold_8_pilon.143"	"Liom_evm.model.scaffold29765.1"	"D2-enriched"	-7.76700889398087	2.10134396805594	4.76054775062136e-11	0.0154036945255253	"Very long-chain-fatty-acid--CoA ligase bubblegum"	"D2-enriched"	-0.740649428417194	3.93546891557971	0.545280056032534	1.14980237337057e-15
"OG0003085"	3631	"Dcor_evm.model.hic_scaffold_8_pilon.677"	"Liom_evm.model.scaffold16867.1"	"D2-enriched"	0.134640062763106	4.10598891950957	0.940793720540907	0.000244133391240439	"PREDICTED: uncharacterized protein LOC108567065 isoform X2"	"D2-enriched"	0.648730178451374	5.46208150879237	0.782823892249714	1.24429637910322e-10
"OG0004407"	4816	"Dcor_evm.model.hic_scaffold_9_pilon.1528"	"Liom_evm.model.scaffold56985.1"	"D2-enriched"	-1.5537066196411	4.74457592091826	0.266470345525924	1.58866581896256e-05	"Insulin gene enhancer protein ISL-1"	"D2-enriched"	-2.61083590350289	4.26014307483506	0.0197413543041596	3.39168466834568e-15
"OG0004407"	4816	"Dcor_evm.model.hic_scaffold_9_pilon.1528"	"Liom_evm.model.scaffold16131.1"	"D2-enriched"	-2.0793544397013	5.80269594939861	0.0320156687496891	2.37960831762408e-13	"Insulin gene enhancer protein ISL-1"	"D2-enriched"	-2.61083590350289	4.26014307483506	0.0197413543041596	3.39168466834568e-15
